id,alone_or_together,posture,gender,added_in_version,modified_from_original?,source_license,urldate,source
alone_lying_child1,alone,lying,child,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/de/photos/kind-m%C3%A4dchen-festlegung-kinder-5711995/
alone_lying_child2,alone,lying,child,1.0.0,yes,CC0,2021-01-12,https://www.piqsels.com/en/public-domain-photo-ovnhq
alone_lying_female1,alone,lying,female,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/de/vectors/m%C3%A4dchen-frau-blondine-liegen-296762/
alone_lying_female2,alone,lying,female,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/de/photos/m%C3%A4dchen-liegeposition-festlegung-4342897/
alone_lying_male1,alone,lying,male,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/de/photos/mann-schlafenden-mann-nap-1245993/
alone_lying_male2,alone,lying,male,1.0.0,yes,Pixabay License,2021-02-13,https://pixabay.com/de/photos/planke-abs-sport-fitness-2793016/
alone_moving_child2,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/zh/photos/child-running-kid-in-park-4560034/
alone_moving_child4,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/fr/photos/jeu-d-enfant-enfant-peu-heureux-1761932/
alone_moving_child5,alone,moving,child,1.0.0,no,Pixabay License,2021-01-12,https://pixabay.com/fr/illustrations/enfant-de-gymnastique-gar%C3%A7on-4770125/
alone_moving_child6,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/photos/jump-rope-girl-jump-jumping-5746626/
alone_moving_child8,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/ru/photos/%D0%B2%D0%B5%D0%BB%D0%BE%D1%81%D0%BF%D0%BE%D1%80%D1%82-%D1%86%D0%B8%D0%BA%D0%BB-%D0%BD%D0%B5%D0%B1%D0%BE-%D0%BB%D0%B8%D0%B2%D0%B5%D0%BD%D1%8C-%D0%B4%D0%B5%D0%B2%D1%83%D1%88%D0%BA%D0%B0-5360648/
alone_moving_child9,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-12,https://pixabay.com/sk/photos/diev%C4%8Da-more-pl%C3%A1%C5%BE-leto-jumping-1494768/
alone_moving_child11,alone,moving,child,1.0.0,yes,Unsplash License,2021-01-12,https://unsplash.com/photos/hRdVSYpffas
alone_moving_child12,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-13,https://pixabay.com/de/photos/kind-hund-tier-rot-h%C3%BCndchen-pet-1180772/
alone_moving_child13,alone,moving,child,1.0.0,yes,Pixabay License,2021-01-13,https://pixabay.com/de/photos/kind-kalb-alpweide-kuh-schweiz-383184/
alone_moving_female1,alone,moving,female,1.0.0,no,Pixabay License,2021-01-12,https://pixabay.com/vectors/ballerina-ballet-dancer-dancing-2773494/
alone_moving_female2,alone,moving,female,1.0.0,yes,CC0,2021-01-12,https://pxhere.com/fr/photo/1271114
alone_moving_female3,alone,moving,female,1.0.0,no,Pixabay License,2021-01-12,https://pixabay.com/vectors/ballerina-ballet-dance-dancing-2024547/
alone_moving_female4,alone,moving,female,1.0.0,no,Pixabay License,2021-01-12,https://pixabay.com/vectors/carefree-dance-dancing-female-girl-1299639/
alone_moving_female5,alone,moving,female,1.0.0,no,Pixabay License,2021-01-12,https://pixabay.com/vectors/dress-female-girl-human-people-2026863/
alone_moving_female6,alone,moving,female,1.0.0,no,Pixabay License,2021-01-12,https://pixabay.com/vectors/exercise-female-girl-pose-posing-1801507/
